Electrode,Label,Coord_x,Coord_y,Coord_z,Location,Grey v White,hemi,area
1,LvPF-OF1,-9,50.5,-13,MOF,Grey,L,OFC
2,LvPF-OF2,-11.5,50.5,-11,MOF,Grey,L,OFC
3,LvPF-OF3,-14.5,50.75,-8.75,MOF,Grey,L,OFC
4,LvPF-OF4,-17,51,-6.5,MOF,White,L,OFC
5,LvPF-OF5,-19.667,51,-4.667,LOF,Grey,L,OFC
6,LvPF-OF6,-22.667,51.5,-2.667,LOF,Grey,L,OFC
7,LvPF-OF7,-25.333,52,-0.333,LOF,Grey,L,OFC
8,LvPF-OF8,-28.25,52.25,1.75,LOF,Grey,L,OFC
9,LvPF-OF9,-31.333,53,3.667,LOF,White,L,OFC
10,LvPF-OF10,-33.6,53.2,5.6,VPF,Grey,L,VPFC
11,LvPF-OF11,-36.333,54,7.667,VPF,Grey,L,VPFC
12,LvPF-OF12,-39.25,54.25,9.75,VPF,White,L,VPFC
13,LvPF-OF13,-41.667,54.6667,12,VPF,Grey,L,VPFC
14,LvPF-OF14,-45,55,14,Bolt,Bolt,L,NAN
15,LdPF-vmPF1,-5,47.5,-10,SGC,Grey,L,NAN
16,LdPF-vmPF2,-6.5,47.5,-6.5,SGC,Grey,L,NAN
17,LdPF-vmPF3,-8,47.25,-3,SGC,Grey,L,NAN
18,LdPF-vmPF4,-9.75,47,0.5,SGC,Grey,L,NAN
19,LdPF-vmPF5,-11.5,47,4,SGC,White,L,NAN
20,LdPF-vmPF6,-13,47,7.5,DPF,Grey,L,DPFC
21,LdPF-vmPF7,-14.5,47,11,DPF,Grey,L,DPFC
22,LdPF-vmPF8,-15.5,47,14.5,DPF,White,L,DPFC
23,LdPF-vmPF9,-17,47,18.5,DPF,White,L,DPFC
24,LdPF-vmPF10,-18.5,47,22,DPF,White,L,DPFC
25,empty,0,0,0,DPF,Grey,L,DPFC
26,empty,0,0,0,DPF,Grey,L,DPFC
27,empty,0,0,0,DPF,Grey,L,DPFC
28,LdPF-vmPF14,-23.5,47.5,37,DPF,Grey,L,DPFC
29,LdPF-vmPF15,-25,47.5,41,DPF,Grey,L,DPFC
30,LdPF-vmPF16,-26.4,47.6,44.72,Bolt,Bolt,L,NAN
31,LdPF-mOF1,-16.667,34,-18.667,MOF,Grey,L,OFC
32,LdPF-mOF2,-18.333,34,-16.333,MOF,Grey,L,OFC
33,LdPF-mOF3,-21,33.6667,-12.667,MOF,White,L,OFC
34,LdPF-mOF4,-23,33.3333,-9.333,MOF,White,L,OFC
35,LdPF-mOF5,-25.333,33,-6.333,MOF,White,L,OFC
36,LdPF-mOF6,-27.5,33,-2.5,MOF,White,L,OFC
37,LdPF-mOF7,-29.667,33,0.333,MOF,Grey,L,OFC
38,LdPF-mOF8,-32,32.5,4,DPF,Grey,L,DPFC
39,LdPF-mOF9,-34,32.5,7,DPF,Grey,L,DPFC
40,LdPF-mOF10,-36.333,32.3333,10,DPF,White,L,DPFC
41,empty,-38.667,32,13.333,DPF,Grey,L,DPFC
42,empty,0,0,0,DPF,Grey,L,DPFC
43,LdPF-mOF13,-43.333,32,19.667,DPF,Grey,L,DPFC
44,LdPF-mOF14,-45.5,32,23,DPF,Grey,L,DPFC
45,LdPF-mOF15,-47.65,31.57,26.15,DPF,Grey,L,DPFC
46,LdPF-mOF16,-50.4,31.49,30.32,Bolt,Bolt,L,NAN
47,LdPF-ACC1,-3.62,11.12,23.12,ACC,Grey,L,ACC
48,LdPF-ACC2,-5.62,11,26.12,ACC,Grey,L,ACC
49,LdPF-ACC3,-7.5,11,30.5,ACC,Grey,L,ACC
50,LdPF-ACC4,-9.333,11,33.6667,ACC,Grey,L,ACC
51,LdPF-ACC5,-10.667,11,36.3333,ACC,Grey,L,ACC
52,LdPF-ACC6,-12.333,11,39.6667,ACC,Grey,L,ACC
53,empty,-14,10.5,43,ACC,Grey,L,ACC
54,empty,0,0,0,ACC,White,L,ACC
55,LdPF-ACC9,-17,10.5,49.5,DPF,Grey,L,DPFC
56,LdPF-ACC10,-18.5,10,52.5,DPF,Grey,L,DPFC
57,LdPF-ACC11,-20,10,55.5,DPF,Grey,L,DPFC
58,LdPF-ACC12,-21.6,10,58.8,DPF,Grey,L,DPFC
59,empty,0,0,0,,,L,
60,empty,0,0,0,,,L,
61,empty,0,0,0,,,L,
62,empty,0,0,0,,,L,
63,empty,0,0,0,,,L,
64,empty,0,0,0,,,L,
65,LdPF-Amy1,-15.5,4,-25,AMY,Grey,L,NAN
